94.17	94.288
93.906	94
93.842	93.93
93.598	93.688
93.728	93.842
93.764	93.892
93.854	93.966
94.234	94.044
94.206	94.31
94.35	94.438
94.34	94.43
94.42	94.49
94.572	94.636
94.346	94.404
94.462	94.484
94.412	94.462
94.362	94.38
94.35	94.37
94.29	94.328
94.118	94.158
93.948	94.044
94.198	94.112
93.926	94.04
93.886	94.016
93.858	93.984
93.772	93.91
93.812	93.94
93.6	93.778
93.688	93.85
93.67	93.85
93.504	93.744
93.54	93.754
93.74	93.956
93.836	94.026
93.632	93.828
93.474	93.756
93.362	93.68
92.828	93.284
92.292	92.84
91.73	92.262
92.096	92.542
91.82	92.3
91.63	92.16
91.318	91.802
91.342	91.712
90.94	91.3
91.092	91.66
91.396	91.98
91.604	92.1
91.308	91.754
91.374	91.82
91.766	92.27
91.888	92.548
91.782	92.558
91.282	92.072
91.722	92.286
91.622	92.1
91.368	91.824
91.4	91.918
91.378	91.688
90.996	91.308
90.8	91.46
90.9	91.782
90.31	91.914
91.452	91.962
91.59	92
91.436	91.91
91.374	91.868
91.386	91.906
91.702	92.22
91.65	92.152
91.792	92.238
91.67	92.19
91.56	92.052
91.798	92.28
91.802	92.32
91.35	91.906
91.306	91.866
91.22	91.804
91.44	91.994
91.696	92.202
91.502	92.082
91.542	92.06
91.466	92.058
91.482	92.074
91.816	92.382
91.64	92.238
91.63	92.16
91.782	92.32
92.09	92.562
92.222	92.694
92.076	92.59
92.198	92.67
92.512	92.9
92.334	92.682
92.402	92.806
92.254	92.66
92.514	92.826
92.33	92.734
92.526	92.978
92.448	92.86
92.584	92.976
92.536	92.98
92.264	92.794
91.918	92.5
91.832	92.406
91.892	92.51
91.95	92.492
92.08	92.692
92.45	93.08
92.266	92.886
92.61	93.182
92.59	93.238
92.478	92.958
92	92.61
91.948	92.506
92.134	92.692
92.078	92.58
92.2	92.724
92.206	92.688
92.288	92.738
92.38	92.898
92.98	92.972
92.83	93.248
92.6	93.056
92.62	93.05
92.628	93.046
92.654	93.106
92.616	93.056
92.648	93.058
92.566	93.018
92.536	92.966
92.53	93.016
92.546	92.99
92.408	92.87
92.164	92.656
91.978	92.54
92.02	92.468
92.03	92.496
92.1	92.56
92.258	92.69
92.384	92.806
92.566	92.95
92.52	92.894
92.47	92.932
92.646	93.05
92.746	93.156
92.698	93.102
92.518	92.924
92.566	92.95
92.512	92.95
92.552	92.94
92.558	92.93
92.716	93.084
92.824	93.16
92.81	93.178
92.964	93.244
92.992	93.352
93.05	93.42
93.326	93.69
93.282	93.7
93.15	93.506
93.014	93.476
92.9	93.434
92.948	93.518
92.952	93.478
92.972	93.57
93.062	93.664
93.1	93.642
93.1	93.642
93.12	93.664
93.26	93.89
93.694	94.268
93.788	94.234
94.168	94.614
94.198	94.652
94.636	94.972
94.078	94.38
94	94.404
94.08	94.516
94.118	94.416
94.066	94.492
94.1	94.38
94.724	94.43
94.69	95.058
94.52	94.898
94.52	94.882
94.5	94.916
94.544	94.98
94.524	94.96
94.518	94.958
94.468	94.874
94.49	94.898
94.506	94.922
94.428	94.836
93.98	94.384
93.816	94.26
93.562	94.006
93.766	94.128
93.67	94.076
93.692	94.136
93.65	94.08
93.706	94.082
93.786	94.152
93.596	94
93.402	93.82
93.18	93.592
92.904	93.338
93	93.416
93.058	93.486
93.036	93.474
92.94	93.362
92.984	93.38
93.27	93.67
93.072	93.516
93.04	93.472
93.032	93.446
93.158	93.586
93.312	93.728
93.266	93.68
93.2	93.608
93.06	93.5
93.036	93.508
92.99	93.48
92.97	93.496
92.696	93.272
93.008	93.612
93.17	93.74
93.33	93.836
93.2	93.696
93.064	93.452
93.168	93.52
93.172	93.572
93.238	93.66
