f1	f2
93.908	94.016
93.902	94.012
93.900	94.006
93.902	94.006
93.896	94.000
93.874	93.996
93.908	94.010
93.910	94.026
93.918	94.034
93.944	94.060
93.942	94.060
93.924	94.032
93.912	94.000
93.922	94.008
93.910	94.026
93.904	94.026
93.906	94.010
93.898	94.012
93.896	94.006
93.898	94.006
93.896	94.006
93.898	94.008
93.898	94.008
93.900	94.008
93.912	94.018
93.914	94.024
93.912	94.024
93.918	94.026
93.906	94.026
93.904	94.026
93.914	94.026
93.918	94.026
93.920	94.026
93.918	94.026
93.920	94.026
93.916	94.030
93.910	94.030
93.906	94.030
93.910	94.030
93.912	94.030
93.908	94.030
93.906	94.020
93.906	94.020
93.904	94.020
93.906	94.020
93.920	94.020
93.912	94.032
93.914	94.032
93.902	94.032
93.900	94.020
93.902	94.016
93.896	94.016
93.890	94.016
93.894	94.016
93.888	93.998
93.898	94.008
93.906	94.008
93.910	94.020
93.912	94.020
93.912	94.022
93.912	94.022
93.906	94.022
93.918	94.022
93.916	94.028
93.914	94.028
93.940	94.040
93.930	94.040
93.922	94.032
93.922	94.032
93.928	94.034
93.926	94.034
93.926	94.034
93.926	94.034
93.934	94.036
93.936	94.044
93.930	94.044
93.930	94.044
93.936	94.042
93.936	94.042
93.938	94.042
93.940	94.046
93.950	94.054
93.946	94.062
93.932	94.042
93.908	94.042
93.918	94.020
93.914	94.018
93.918	94.018
93.912	94.018
93.912	94.022
93.910	94.026
93.918	94.026
93.928	94.032
93.936	94.040
93.922	94.040
93.922	94.040
93.924	94.040
93.922	94.040
93.920	94.040
93.922	94.024
93.924	94.028
93.922	94.028
93.920	94.028
93.924	94.028
93.922	94.032
93.924	94.032
93.926	94.040
93.922	94.040
93.924	94.040
93.924	94.040
93.930	94.038
93.932	94.038
93.922	94.038
93.924	94.038
93.924	94.034
93.924	94.034
93.910	94.014
93.916	94.012
93.918	94.026
93.918	94.026
93.920	94.028
93.916	94.028
93.922	94.026
93.922	94.034
93.924	94.034
93.924	94.034
93.920	94.028
93.916	94.028
93.924	94.028
93.928	94.036
93.932	94.036
93.928	94.042
93.928	94.038
93.930	94.040
93.930	94.038
93.924	94.028
93.910	94.026
93.896	94.002
93.896	94.002
93.898	94.002
93.898	94.002
93.894	93.996
93.904	94.000
93.906	94.000
93.870	93.998
93.862	93.958
93.858	93.954
93.850	93.958
93.868	93.970
93.876	93.980
93.886	93.980
93.882	93.972
93.900	93.990
93.902	93.990
93.894	93.986
93.894	93.988
93.892	93.978
93.886	93.980
93.892	93.980
93.896	93.976
93.906	93.984
93.906	93.990
93.894	93.980
93.898	93.990
93.882	93.940
93.880	93.976
93.866	93.950
93.870	93.950
93.872	93.958
93.882	93.958
93.888	93.972
93.900	93.980
93.892	93.980
93.892	93.980
93.896	93.980
93.894	93.972
93.896	93.976
93.896	93.970
93.896	93.978
93.894	93.964
93.894	93.964
93.884	93.948
93.874	93.948
93.880	93.950
93.880	93.950
93.874	93.950
93.874	93.950
93.874	93.954
93.872	93.950
93.872	93.950
93.888	93.950
93.884	93.950
93.880	93.950
93.872	93.950
93.878	93.960
93.878	93.960
93.874	93.960
93.878	93.960
93.876	93.960
93.880	93.964
93.878	93.968
93.884	93.960
93.888	93.960
93.880	93.960
93.886	93.960
93.886	93.966
93.890	93.966
93.894	93.966
93.896	93.966
93.894	93.966
93.888	93.966
93.888	93.966
